text_ENG	Gift1	Gift2	Gift3	text_JPN	text_CHS	text_CHT	text_KOR	Char	Flag
Wandering Weasels	Mossy Stone			イタチの生態に迫る	调查鼬的生态	調查鼬的生態	족제비의 생태에 대해	0	1
Punish the Grave Robber	Sky Bubble	Steam Uni		墓荒らし、許すべからず	盗墓者罪该万死	盜墓者罪該萬死	도굴꾼, 용납할 수 없다	0	1
Waking Nightmare	Honey Fungus	Devil's Soul		覚めない悪夢	永不醒来的噩梦	醒不來的惡夢	깨지 않는 악몽	0	1
A Dire Lament	Chainweb	Mine Ant	Emperor Uni	弔い	吊唁	弔唁	애도	0	1
Studying Beast Behavior	Pourpremoule			ケモノの性質を究める	研究魔兽的习性	研究魔獸的習性	짐승의 성질을 알아내다	0	1
Fresh from the Sea	Smech	Spirit Dew		海の素材は鮮度が大事	海货当然要新鲜	海產就是要新鮮	바다 소재는 신선해야 해	0	1
Wyvern Sighting	Charred Bark	Steam Uni		メガ凄い！翼竜	巨无霸翼龙！	巨無霸翼龍！	엄청나게 굉장한 익룡	0	1
Blossoms of Remembrance	Undastone	Gold Ball	Snow Queen	薫る花に君を憶う	香花忆佳人	香花憶佳人	꽃에서 너를 떠올리다	0	1
An End to Illness	Bitter Root			病まない国への第一歩	打造健康国度的第一步	打造健康國度的第一步	병들지 않는 나라를 위해	0	1
A Battle for the Tales	Rotting Arbor Twig	Heatwave Water		アドリブ幻想奇譚	即兴幻想	即興幻想記	애드리브 환상 기담	0	1
Phantom Trespasser	Honey Fungus	Yuqtul Frog		青き闖入者	蓝色入侵者	藍色侵入者	푸른 침입자	0	1
Moonlit Memories	Celestial Silver Stone	Dark Dew	Everlasting Saft	出づる月に君を憶う	明月忆佳人	明月憶佳人	달에서 너를 떠올리다	0	1
Master Herbologist	Mana Petal			植物集めの達人	植物采集专家	植物採集專家	식물 수집의 달인	Ayesha	1
The More the Merrier	Goldinite			一石二鳥か、三鳥か	一箭双……也许是三雕	一石二鳥或三鳥	일석이조인가, 삼조인가	Ryza	1
Sharing the Spoils	Sparkling Sand			変わった素材のおすそ分け	分享特殊素材	分享特殊素材	특이한 소재 나눔	Judie	1
Gather Where It's Warm	Elder Garlic			あったかいもの集め	收集温暖的东西	蒐集溫暖的東西	따뜻한 것 모으기	Mu	1
Rare Ingredients	Rainbow Coral Fragment			希少性の高い素材	极其罕见的素材	極罕見的素材	희소성이 높은 소재	Elie	1
For the Carrots!	Mine Ant			にんじんのためなら！	一切都为胡萝卜！	一切都是為了胡蘿蔔！	당근을 위해서라면!	Viorate	1
Edible Fuel	Zafloa Oil			食べられる燃料	可食用的燃料	可食用的燃料	먹을 수 있는 연료	Shallotte	1
Giving Back	Sunbeam Powder			感謝の気持ち	感恩的心	感恩的心	감사의 마음	Vayne	1
Exclusive Ingredients	Spirit Dew			ここにしかないモノ	这里才有的东西	這裡才有的東西	여기밖에 없는 것	Klaudia	1
The Plant Whisperer	Indignant Scream			お願い植物さん	拜托植物帮帮忙	拜託植物幫幫忙	부탁해, 식물아	Oskar	1
Alchemist's Gathering Trip	Rainbow Wing Fragment			錬金術士の採取旅	炼金术士的采集之旅	鍊金術士的採集之旅	연금술사의 채집 여행	Firis	1
Alchemy Support	Mysterious Metal Shard			錬金術のサポート	炼金术支援	支援鍊金術	연금술 서포트	Logy	1
Stocking the Shelves	Eternal Breeze			商品調達	调度商品	調度商品	상품 조달	Corneria	1
Prepping for Synthesis	Feather Draft			万全なる準備のために	有备无患	有備無患	만반의 준비를 위해	Shallistera	1
Mushroom Mania	Dreamy Crown			キノコ大好きお姫様	钟情蘑菇的公主	對菇情有獨鍾的公主	버섯을 좋아하는 공주님	Meruru	1
Research Materials	Celestial Silver Stone			素材時々研究素材	素材也能用于研究	素材也能用於學術研究	소재 때때로 연구 재료	Plachta	1
A Tonic for Tiredness	Golden Fruit			疲れた時の特効薬	疲劳时的特效药	疲勞時的特效藥	피곤할 때의 특효약	Marie	1
Master Herbologist	Mana Petal	Darkness Petal		植物集めの達人	植物采集专家	植物採集專家	식물 수집의 달인	Ayesha	1
The More the Merrier	Goldinite	Powerful Fish Bait		一石二鳥か、三鳥か	一箭双……也许是三雕	一石二鳥或三鳥	일석이조인가, 삼조인가	Ryza	1
Sharing the Spoils	Sparkling Sand	Dragon Hourglass		変わった素材のおすそ分け	分享特殊素材	分享特殊素材	특이한 소재 나눔	Judie	1
Gather Where It's Warm	Elder Garlic	Sun Necklace		あったかいもの集め	收集温暖的东西	蒐集溫暖的東西	따뜻한 것 모으기	Mu	1
Rare Ingredients	Rainbow Coral Fragment	Charicheese		希少性の高い素材	极其罕见的素材	極罕見的素材	희소성이 높은 소재	Elie	1
For the Carrots!	Mine Ant	Wish Carrot		にんじんのためなら！	一切都为胡萝卜！	一切都是為了胡蘿蔔！	당근을 위해서라면!	Viorate	1
Edible Fuel	Zafloa Oil	Alchemist's Broom		食べられる燃料	可食用的燃料	可食用的燃料	먹을 수 있는 연료	Shallotte	1
Giving Back	Sunbeam Powder	Nyclo Cloth		感謝の気持ち	感恩的心	感恩的心	감사의 마음	Vayne	1
Exclusive Ingredients	Spirit Dew	Klaudia's Sweets		ここにしかないモノ	这里才有的东西	這裡才有的東西	여기밖에 없는 것	Klaudia	1
The Plant Whisperer	Indignant Scream	Dunkelheit		お願い植物さん	拜托植物帮帮忙	拜託植物幫幫忙	부탁해, 식물아	Oskar	1
Alchemist's Gathering Trip	Rainbow Wing Fragment	Roasted Rabbit		錬金術士の採取旅	炼金术士的采集之旅	鍊金術士的採集之旅	연금술사의 채집 여행	Firis	1
Alchemy Support	Mysterious Metal Shard	Purifying Liquid		錬金術のサポート	炼金术支援	支援鍊金術	연금술 서포트	Logy	1
Stocking the Shelves	Eternal Breeze	Music Box of Memory		商品調達	调度商品	調度商品	상품 조달	Corneria	1
Prepping for Synthesis	Feather Draft	Marbled Meat		万全なる準備のために	有备无患	有備無患	만반의 준비를 위해	Shallistera	1
Mushroom Mania	Dreamy Crown	Pure Truffle		キノコ大好きお姫様	钟情蘑菇的公主	對菇情有獨鍾的公主	버섯을 좋아하는 공주님	Meruru	1
Research Materials	Celestial Silver Stone	Alchemic Wind-Up Key		素材時々研究素材	素材也能用于研究	素材也能用於學術研究	소재 때때로 연구 재료	Plachta	1
A Tonic for Tiredness	Golden Fruit	Philosopher's Stones		疲れた時の特効薬	疲劳时的特效药	疲勞時的特效藥	피곤할 때의 특효약	Marie	1
